id,Kichwa,Español
3527,  raíz / mata. palanta sapipimi jampi wankuta sakirkani / apakri. junto a la mata de plátano dejé el barbasco / tráeme.,sapira
3528,  arcilla / greda. sapirata apamunki / allpamanka awanata yachachishkanki. trae arcilla para enseñarte a fabricar ollas de barro.,sapu
3529,  hormigón / pipón / pantorrilla / bíceps. aswa upyaymanta sapu warmi. esa mujer es barrigona de tanto tomar chicha. chaki sapu illak runakunami tiyan. hay personas que no tienen nada de pantorrilla.,sara
3530,  maíz. pipyakuna mikunkapak sarata kutankichik. molerán maíz para los pollos.,sarapanka
3531,  hoja de maíz. atallpa usa mirashkata sarapankawan rupachikpimi chinkarinka. los piojos de gallina se pierden quemándolos con hoja de maíz.,sarun
3532,  otro día / antes / pasado. sarun punchakunapi yapalla llamkashpami / sampayashka kani. por trabajar mucho en días pasados estoy cansado.,saruna
3533,  pisar / atropellar. mishukunaka runata sarushpa / tukuchishunmi yuyarirka. los mestizos creyeron que con atropellarnos / nos exterminarían.,sasina
3534,  ayunar / abstenerse. yachak kakushkaraykumi / atallpamanta sasi kani. por tratarme con el shamán tengo que abstenerme de comer gallina.,satina
3535,  meter / introducir. ñuka allashka jutkukunapi palanta mallkita tarpunki. en los hoyos que hago mete plantas de plátano.,saw
3536,  expresión de interjección. munankichu kanpakta rantishun. saw. ¿quieres que compremos para ti? ¡tranquilo!,sawna
3537,  almohada. sawna illak puñunkapak mana ushanichu. es imposible dormirme sin almohada.,sawnana
3538,  recostar / arrimar. umatami sawmanata munani. quiero recostar la cabeza en la almohada.,sikana
3539,  subir / ascender / montar / trepar. urku jawaman sikashun. subamos a la montaña. kay waykuta urakushpa / washaka sikankapak ushankichu. si bajas este barranco / ¿luego podrás subir?,siki
3540,  nalga / trasero / culo / asiento. ukuy kamashka sikiyukshi kan. se dice que las hormigas rastreras / tienen el trasero bien formado. tiarina siki. asiento de palmera. manka siki. asiento de la olla.,siksi
3541,  hilador / instrumento compuesto de un disco de madera o concha de animal y un palito metido en el centro. charapa karamanta alli siksi charishkatami / wawakuna pakirka. tuve un hilador de concha de tortuga acuática pero los niños lo rompieron.,sillu
3542,  uña / casco / pezuña. silluta pitirishpalla tiyana rantimanta / mankata mayllakri. en vez de cortarte las uñas / vete a lavar la olla. wakrami sillupi chukrishka / janpikpimi alli kanka. la vaca se ha herido la pesuña / hay que curarle.,sinchi
3543,  duro / fuerte. sinchi runa kashkarayku / paywan mana usharka. el hombre es fuerte / con él no pudieron. wampulaka sinchi yurami / mana ismuk kaspi kan. la madera es dura y no se pudre.,sinchiyachina
3544,  duro / reforzado / fortalecer. patachakikunata sinchiyachikpi / wasika mana kuyurikmi shayanka. si las basesson duras / la casa se fortalece. unku kashpapash allita mikukpika / achkatami sinchiyachin. el enfermo bien comido se encuentra fortalecido.,sinchiyana
3545,  fortalecerse. wañunalla allkuta jampita upyachikpimi / kunanka sinchiyakun. se le dio medicamento al perro que ya estuvo a punto de morir y ahora está fortalecido.,sinchiyarina
3546,  hacerse duro. urku sikanapi sinchiyarinkichik. hay que ponerse duro en la cuesta.,sinka
3547,  nariz / trompa. tukuy runami sinkamanta samanchik. todas las personas respiramos por la nariz.,sinkallina
3548,  sorber por la nariz. riki / wawami aswata sinkallikun. mira / el bebé está sorbiendo la chicha por la nariz. shiktatak sinkallikpi / lumarisu jampirinmi. sorbiendo por la nariz el brebaje de ese arbusto / se sana de la gripe.,sinkuna
3549,  tambalearse / cabecear / revolcarse / rodar. machashpa sinkurikun. de borracho está revolcando. tsatsapi sinkukrishun.vamos a revolcarnos en la playa.,sipina
3550,  ajustar / apretar / prensar / ahorcar / estrangular. sipishpa ñalla wañuchiwarka. casi me estrangulan. yapaktami sipiwanki / kachariway. me estás apretando demasiado / suéltenme.,sipirina
3551,  ahorcarse / apretarse / ajustarse. watashpa wakra sipirishpa wañushka. la res que estaba amarrada y se ha ahorcado. sara kipimi jukushka yapalla sipirishka. el bulto de maíz / al mojarse se ha apretado demasiado.,sipu
3552,  arrugas. rukuyashpachu sipu ñawi tukunki / mama. madre / ya se te ven las arrugas en la cara por la vejez. kanpak sipu churanata llampunkima. es de que alises tu ropa arrugada.,sipuna
3553,  arrugar / fruncir / guiñar / pestañear. ñawita sipushpa piñawarka. hablándome frunció su cara. ñawita sipushpa killachiwarka. me estuvo guiñándome el ojo.,sipuyana
3554,  arrugarse / fruncirse. rukuka / tukuy aycha sipuyashkami. como soy viejo / tengo todo el cuerpo arrugado. piñarishpa / sipuyashka purikurka. él es bravo y anda fruncido.,sirana
3555,  coser / zurcir. lliki kushmata sirarkankichu. ¿zurciste mi camisa vieja?,sirichi
3556,  acto de la ceremonia nupcial. sawarikukkunatami sirichinkapak rinchik. vamos a efectuar la ceremonia de acostar a la pareja.,sirichina
3557,  acostar. wawakunata ña sirichi / puñuchun. acuéstales ya a los niños para que duerman.,sirina
3558,  acostarse / echarse. mamaka apashpami puñunapi sirikun. la mamá luego de dar a luz / está acostada en la cama.,sisa
3559,  flor. kanka sisa ukupi kawsak kashkanki. tú vives entre las flores.,sisana
3560,  florecer. wachansu yuraka sisashpallatak / mana muyuyanchu. el maní florece pero no da fruto.,sisapacha
3561,  primavera. shuk llaktakunapika sisapacha paktashkapi / tukuy yurakunami sisalla juntarin. en otras tierras cuando llega la primavera todos los árboles se llenan de flores.,sisapampa
3562,  jardín. sisapampapi ima sami sisakuna tarpushkami tiyan. en el jardín se ven sembradas toda clase de flores.,sisu
3563,  ronchas / sarna (ácaro). panta shimita rimashpami / tukuy shikshikunataka / ‘sisu’ ninchik. por equivocación llamamos sarna a todo lo que da comezón.,sisuyana
3564,  estar con sarna. kanpak allkuka sisuyashkami. tu perro está sarnoso.,sitiku
3565,  guarumo (madera que en la actualidad se utiliza en las construcciones). mushuklla tukushka allpakunapi / sitiku yuraka paylla wiñan. en las islas crecen los guarumos.,siwka
3566,  gallinazo. siwkakunaka allku wañuchishka chakaktami mikun. los gallinazos se están comiendo la raposa que atrapó el perro.,suchu
3567,  tullido. wawapi alli kakmi / jatun yashkapi suchuyarka. siendo sano de pequeño / más gradecito quedó tullido.,suchuna
3568,  arrastrarse / estar imposibilitado. suchushpa purishkarayku / llakipak rikurin chay warmi. da pena ver a esa mujer arrastrándose.,suchuyana
3569,  quedarse tullido / paralítico. washatullu pakirishpa wiñay suchuyashka sirirka / kunanka jatarinmi. cuando se fracturó la columna estuvo mucho tiempo imposibilitado / ahora camina un poco.,sukta
3570,  seis. ña sukta watami ñukanchik jawyakuna mana shamun. ya son seis años de que nuestros consuegros no vienen.,sulayana
3571,  dañar. palanta umakunaka sulayashpami ñuka chakrapi wakllin. los plátanos de mi sementera se negrean y se pudren.,sullu
3572,  chicharra / cigarra. intipachapika sullukuna kaparishkami maytapash uyarin. en verano se escucha por doquier el ruido de las cigarras.,sumak
3573,  bonito / hermoso / lindo / precioso / bello / bueno / agradable / delicioso / excelente. tukuy warmikunami sumak kan. todas las mujeres son bonitas. runa ukupi tiyanmi sumak shimiyuk / tukuykuna llakish-ka. entre los indígenas hay quienes tienen excelente palabra y son apreciado por todos.,sumakllarina
3574,  estar muy bonita. sumakllariwan. lo dice el hombre a la mujer que le ha hechizado su hermosura.,sumakyachina
3575,  arreglar / componer / adornar / decorar / mejorar. ñuka wasita sumakyachishpa kanman kuyashkanki. te regalaré mi casa luego de arreglarla. kankunapa llaktatak sumakyachinkapakmi shamurkani. he venido para mejorar su tierra.,suni
3576,  largo. suni waskatami rantimuni. compré una piola larga. suni pankata kuway.dame una hoja larga.,suniyana
3577,  alargarse. wasita suniyachikpimi tukuy runa kaypi paktashun. alargando la casa / entraremos todos.,supay
3578,  espíritu o vida invisible ambivalente / bueno o malo. runa yachaypika achla supaymi tiyan. según el indígena existen muchos diablos en la selva.,supi
3579,  pedo / ventosidad / flatulencia. runa ukupi ama supinkichu / ashnachinkimi. no serás flatulento / vas a dar mal olor.,supina
3580,  ventosidad. kaykan runakunaka supishpa pukllan / chayka manalli yachaychu kan. algunas personas bromean soltándose una ventosidad / esa es una mala costumbre.,suri
3581,  gusano comestible. ñuka apamushka surikunata kawchashpa mikushun. friendo los gusanos de palmera que traje nos comeremos.,surkuna
3582,  sacar. ishkay lumu ashankata surkunami. hay que sacar dos canastas de yuca.yawatita kincha ukumanta surkuy. saca esa tortuga del corral.,suruna
3583,  hacerse hernia. kurutakuna surushkatami jampirirkani. me hice curar de la hernia de la ingle.,suruy
3584,  hernia. llashuk kaspikunata aparishpami / pupupi suruyta charin. por cargar palos pesados / le ha salido una hernia en el ombligo.,susu
3585,  gorgojo / polilla. llulu killapi kaspita mana pitinachu / susu japinka. en luna nueva no hay que cortar los árboles / les coge la polilla a su madera.,susuna
3586,  apolillarse / agorgojarse.,susurina
3587,  herirse / franturarse / hacerse algún mal. pay machaysikimanta ñawipi sinchita susurishka. por borracho se ha hecho una herida en el ojo.,suyu
3588,  variedad de golondrina / región. suyukuna akcha wampurin. hay muchas golondrinas volando. sumaku suyuta mana riksinichu. no conozco la región de sumaco.,shakalli
3589,  variedad de lora. shakallimi sarata tukuchikun. esa lora se está terminando el maizal.,shalla
3590,  separado (dedos / dientes). shalla kiru warmimi kashka / kanpa warmi-tukunaka. tu novia tiene los dientes separados. kushilluta jawapi illapashka / shalla makin / japirinalla urmanurka. disparé a un mono y cayó con los dedos abiertos como si se hubiera querido coger de las ramas.,shallipu
3591,  variedad de árbol. shallipu kara llushtinkapak mashata chishakta yanapakuni. todo el día stuve ayudando al cuñado a pelar la corteza del árbol para amarrar.,shamuchina
3592,  citar / invitar. kanchu kayawarkanki.ari / ñukami aswata upyachinkapak shamuchirkani. ¿tú me hiciste venir? ¡sí / yo te hice venir para tomar chicha!,shamun
3593,  futuro. shamun watapi kay llaktamanta anchurisha yuyakuni. el año que viene estoy pensando retirarme de esta tierra.,shamuna
3594,  venir. chaska puncha,shapaka
3595,  variedad de palmera. yayaka shapaka panka ashtanatami yanapa.a mi papá le están ayudando en la sacada de la hoja de palmera.,shayachina
3596,  levantar / alzar / parar. kaspita shayachirkani. paré el palo. ruku mama shayarinata mana ushakpi / rikramanta japishpa shayachirkani. como la anciana no podía pararse la tomé de los brazos y le paré.,shayana
3597,  parado / de pie / estático. chawpi ñanpi mana riksishka runa shayakurka. un desconocido estaba parado en mitad del camino. llaktapi shuk warmi. waka shina mana kuyurik shayarka. en la ciudad una mujer se quedó estática como una estatua.,shayarina
3598,  detenerse / pararse. rikushkapi kayakpi / rikunkapak shayarirkanchik. cuando nos íbamos nos llamaron y tuvimos que pararnos para ver quien era.,shaykuna
3599,  cansarse / fatigarse / agotarse. tukuy puncha shinchita llanakashpami shaykushka kani. por el trabajo de todos los días muy fuerte / estoy agotado.,shayri
3600,  tabaco / cigarro / cigarrillo. shayri tsunkanata unaymi sakirkani. hace mucho que dejé el cigarrillo.,shi
3601,  duda / incertidumbre. kayashi chishakta tamyanka. mañana dicen que va a llover todo el día.,shikina
3602,  limpiar / rallar. jantya karatami shikikuni. estoy limpiando el sábalo para comer. palantatak shikinkapak yanapaway. ayúdame a rallar el plátano.,shikra
3603,  bolso hecho de fibra de palmera. shikrata watankapak champirata apamushpa kuway. tréme la hoja de palmera para tejer un bolso.,shikshi
3604,  comezón. chaki shikshi japiwashka. tengo comezón en los pies.,shikshichina
3605,  comezón / ardor. siki karapi mana ushaypak shikshichiwan. siento un ardor terrible en la nalga.,shikshina
3606,  dar comezón. tukuy aychami shikshiwan. me da comezón en todo el cuerpo.,shilli
3607,  variedad de palmera. kunan uku / sachapika shilli pukunmari. esta temporada el fruto de la palmera está madurando.,shimi
3608,  idioma / lengua / palabra / mandato / boca. kan rimashka shimi alli kan / paktachishunmi. tu palabra es buena / la cumpliremos. shimita pukawan jawirishka / mana alli rikurin. la boca pintada de rojo / se ve,shiminchina
3609,  borde. allpa mankatami shiminchikun. está haciendo el borde a la olla de barro.,shina
3610,  igual / parecido a / por ejemplo. pay shina warmita charina munani. quiero una mujer semejantea ella. ñuka shina rikurik churitami charini. tengo un hijo igual a mí.,shinallatak
3611,  de la misma manera / igualmente / así mismo / pero. payka chiknishka / ñukapash shinallatak kutichishami. él me pega por odio / yo le devolveré igual. kutichishami rimawarka / shinallatak kunankaman mana kuwan. dijo que me devolvería pero hasta ahora no me entrega.,shinami
3612,  por supuesto / así es. kanpak warmiwanchu puñurkanki / shinami. ¿dormiste con tu mujer? ¡por supuesto que sí! (¡así es!).,shinapash
3613,  pero. kan munashpaka ñukawan rinki / shinapash yayakunaka piñarinkami. si tú quieres puedes venir conmigo pero tus papás se enojarán.,shinapi
3614,  entonces. kayka mana alli rurashkachu. shinapika imashnata rurasha. esto no está bien echo. entonces /¿cómo hay que hacer?,shinapika
3615,  por consiguiente / en consecuencia / luego... mikuna rantinkapak kullkimi illan. shinapika mikuna illakchu kawsanka kankichik. no hay dinero para comprar víveres ¿luego / piensan vivir sin comida?,shinaykuti
3616,  por supuesto que sí. mi. por supuesto que he dormido esta noche.,shinka
3617,  chumado / embriagado / borracho. shinka runaruku ñukanchik wasita kaparishpa rirka. un borracho pasó gritando por nuestra casa.,shinkayana
3618,  estar borracho / ebrio / chumado. shinkayashkami. está chumado.,shinki
3619,  negro / carbón / hollín. shinki runakuna achkami. cocallaktapi juntan.en coca hay mucho negro.manka shinkita aspishpa llushpichinki. el hollín de la olla lo sacarás raspando.,shipati
3620,  variedad de palmera parecida al coco (shilli).,shira
3621,  variedad de gavilán. shira pishku wawata mikun. el gavilán se está comiendo los polluelos de las aves.,shirinka
3622,  caucho. shirinka pachapika / sachamanta runa achkami wañushka. en la época del caucho mucha gente vivió en la selva.,shishin (shishi)
3623,  culebra venenosa. shishin kanishkamanta unayllapi / aychamanta yawar tallirinkapak kallarin. después de haberle mordido esa serpiente / le empezó salir sangre de algunas partes del cuerpo.,shitana
3624,  botar / lanzar / arrojar / tirar / disparar / flechar / brujear. tuksinata shitashpa kamashun. probemos arrojando la lanza. kay llaktapika uchilla wawakunapash illapawan shitanmi. en este lugar hasta los niños pequeños saben disparar con escopeta. malta runa ñukanchik ayllupak shutita rimashpa paypak pirutita shitakukta rikurkani.vi al brujo que pronunciando el nombre de un familiar nuestro / hacia ademán de tirar sus dardos.,shitarakuy
3625,  hormiga brava (tamya añanku). yuyankichik / shitarakuymi wasipi juntarishka. ¡cuidense que la hormiga brava ha invadido la casa!,shitarina
3626,  abalanzarse. machakuy jawamanta shitarimushpa / ñalla kaniwan. abalanzándome desde arriba / casi me muerde la culebra.,shiwtachina
3627,  rebozar / desbordar. mikuna mankata shiwtachina mana allichu / mitayuk runami awasyanka. no es bueno dejar rebosar la comida en la olla / te vuelves inepto el cazador.,shiwtana
3628,  rebosar al hervir el agua / desbordar. mikuna mankami shiwtakun. está hirviendo la comida en la olla.,shuk
3629,  uno / una. shuk runa shamurka. vino un hombre.,shukarina (chukallina)
3630,  atorarse / atrancarse / atragantarse. ñukapa mama aychata utkalla mikukushpami shukarirka. mi mamá se atragantó cuando comía la carne al apuro.,shuklla
3631,  único / uno solo. kayashkakunamanta shuklla paktamushka. de los invitados ha llegado uno solo.,shulla
3632,  rocío / sereno. kunan tuta achka shulla tallirishka. en esta noche ha caído mucho rocío.,shullana
3633,  rociar / caer el sereno. shullashka kiwata mikushpa kunu wañunmi. comiendo hierba rociada / el conejo muerió.,shulluchina
3634,  abortar / provocar el aborto. ushushi wiksayuk kakta / yayami shulluchishka. la hija ha abortar.,shulluna
3635,  abortar. mushuk wiksayashka / ansa mancharishkalla / shullushka. como tenía poco tiempo de embarazo / apenas con un susto abortó.,shulluy
3636,  aborto. shulluyka mana allichu / maykanpi warmikunaka wañunmi. el aborto no es bueno / a veces / por abortar / mueren las mujeres.,shunku
3637,  corazón / pulmón / hígado / médula de los árboles. imachari tukunka kani shunkumi manchariwan. no sé lo que me irá a pasar / me late el corazón. mana ismuk yurakunallami / mana ismuk shunkuyuk kan. estos árboles no se pudren / tienen el corazón incorruptible.,shunkuyuk
3638,  con uso de razón / pensante. imata wasi wasi killachishpa purinki / ña shunkuyukmi kanki, wasipi yayata / mamata yanapay. no estés molestando de casa en casa / ya eres pensante / ayuda en la casa a tu papá y a tu la mamá.
3639,shuntu,  escarabajo / moscardón de gusanos comestibles. tawka shuntumi muritipi wachakun. muchos moscardones de gusano están poniendo huevos en la palmera.
3640,shutana,  gotear / filtrar / chorrear. wasi shutunmari. hay goteras en la casa. kay rumi pirkapipash yakuka shutunmi. por esta pared de piedra / también se filtra el agua.
3641,shuti,  nombre / verdadero. ima shutimi kanki. anselmo shutiyukmi. ¿cómo te llamas? ¡mi nombre es anselmo! shutitachu rimanki. ¿dices tu verdadero nombre?
3642,shutichina,  bautizar / poner apodo. paypak shutika. agustín yuyarirkanchik. ¿y el nombre de él? hemos pensado que se llame agustín.
3643,shutu (shutuy),  shutukunata yupashpami jampitaka upyachina kan. contando las gotas se le debe dar el medicamento.
3644,shutuchina,  gotear. ñawi nanay kampita allimanta shutuchiway. el colirio me pongo gota a gota.
3645,shuturina,  mojarse / chorrearle. tamya uku purishpami shuturishka paktamun. caminando en la lluvia / llegó mojado.
3646,shuwak,  ladrón / ratero. yuyankichik / shuwak runa kayta purikunllami. tengan cuidado / que el ratero merodea por aquí.
3647,shuyana,  esperar / aguardar. ñuka awla paktamunatami shuyakuni. estoy esperando la llegada de mi abuela.
3648,shuyuna,  dibujar / manchar. kuychita shuyushka washami / rikukuni. estoy observando mi cuadro luego de dibujar el arco iris.
3649,takana,  machacar / golpear. malta yachay / kan lumuta takay / utkalla aswashun. tú / como joven / machaca la yuca para hacer pronto la chicha.
3650,takarina,  tropezar / golpearse / rozarse. unay mana rikunakushka aylluwan takarikushpapash / payta mana riksirkani. a pesar de rozarnos con un familiar desde mucho / no le he visto.
3651,takla,  flojo / desajustado. takla waruta rantishkani. he comprado un pantalón flojo. tumi kaspi takla kashpa chukrinallami. cuando está flojo el mango del hacha / es fácil cortarse.
3652,taklayana,  aflojarse. amu irkiyakpi churanapash taklayashka. al adelgazarse también se ha aflojado la ropa.tumi kaspipash takaymantami taklayashka. el mango del hacha se ha aflojado de tanto trabajar.
3653,takshana,  lavar. ñuka tsuntsu warata taksharkankichu. ¿lavaste mi pantalón viejo? kay llachapakunata takshankapak yakuman rikuni. estoy yendo a lavar estos trapos en el río.
3654,takti (tatki),  paso / metro. uchilla taktiwan purinki. camina con paso corto.
3655,tallina,  regar / esparcir / derramar. sisakunapi ansalla yakuta tallinki. regarás un poco de agua en las flores.
3656,tallirina,  regarse / derramarse / ir en aglomeración. jawamanta tallishka shina tukuy puncha tamyan. como si regaran de encima llueve todos los días. tawka runami llaktaman tallirimun. mucha gente viene en aglomeración al pueblo.
3657,tampuna,  construir una choza. kay tamputa tukuchispami / alli wasita shayachisha. terminando esta choza / construiré una verdadera casa.
3658,tamshi,  bejuco / mimbre. ñukanchik rukukunaka tamshillawanmi wasita watakkuna karka. nuestros abuelos amarraban la casa solo con el bejuco.
3659,tamya,  lluvia / aguacero. llullu killapi tamya yapa killachin.cuando llueve luna nueva molesta demasiado.
3660,tamyana,  llover. tamyakaran. está lloviendo.
3661,tamyapacha,  invierno. tamyapachapi mana sinchita tamyashpapash / chishakta chishaktami tayian. aunque en invierno no llueve torrencialmente / a veces / lo hace días enteros.
3662,tanampu,  barbasco de hoja. tananpuwanka nuspa tukushpami challwakachaka wañun. con el barbasco de hoja / los peces se mueren alocándose.
3663,tani,  agrio / amargo. variedad de arbusto. kay punkara-muyu yuraka sacha ukupi shayashpami tani muyuta pukuchin. este arbusto de brea produce frutos agrios.
3664,tankana,  empujar / palanca. tankanata pitisha / kaypimi kuska pintukuna shayan. aquí hay caña brava recta / cortaré para hacer una palanca. kanpak allkuta chawpi yakuman tankay. empuja a tu perro al medio del río.
3665,tanlla,  ajustado / apretado. aychawan tanlla churarishka amuta yapa ñakachin. la ropa ajustada / martiriza a quien la usa. kuchita yapa tanlla watashkanchik. hemos amarrado muy apretado al puerco.
3666,tanta,  pan. sara chuklluta pallakrisha / chukllu tantatak rurashpa mikukapak. iré a cosechar choclo para hacer humitas.
3667,tantachi,  ahorro / agrupación. sarata rantinkapak kullkita tantachinami kanchik. tenemos que ahorrar dinero para comprar maíz.
3668,tantana,  reunir / reunión / recolector / recoger / juntar. ayllupuraka shukllapi tantashpa / llaktanami kanchik. juntando a los familiares en un solo lugar / hay que construir un pueblo. mashna kullki tantashkatatak charinki. ¿cuánto de dinero recolectado tienes?
3669,tantarina,  reunirse / congregarse / juntarse / agruparse. kaya puncha tantarinami kanchik. el día de mañana debemos reunirnos. shuk kanchisri washa tantarinkapak / killkanami tukuni. para reunirnos después de una semana / enviaré un comunicado.
3670,tapa,  gajo. shuk tapallatak palantatak apanki. llevarás un gajo de plátanos.
3671,tapuna,  preguntar / averiguar / interrogar / inquirir / pedir. kuchi aychata katunkapa charinkichu. ¿tienes carne de puerco para vender?. churiyuk kashpa / ushushita mañankapak mashita tapurkani. como tengo un hijo / le pregunté al compañero por su hija para hacer la pedida de mano.
3672,tapya,  mal augurio. kan puñukushka kuskamami tuta tapya uyarikurka.por donde duermes / en la noche se escuchaba un mal augurio. tapya runa shamushkallami wawa unkukapa kallarik / wañun. solo con haber llegado el brujo empezó a enfermarse el niño.
3673,tapyana,  estar embrujado / desvariar / hablar sin sentido. ñukanchik wasi punkupi tuta tunchi tapyakurka. en la puerta de nuestra casa se escuchaba anoche al malagüero. tapyanmi kay warmi / mana rimash-kakunata rimarin. esta mujer desvaría / dice cosas que nadie ha dicho.
3674,tarikaya,  tortuga de agua. washa wiñak wawakunaka tarikayata mana riksinkachu / chaykamanka tukurinkami. los hijos que vengan después no van a conocer la tortuga de agua pequeña / para entonces ya no habrá.
3675,tarinakuna,  encontrarse. wawkipura tarinakukukta rikurkani. vi que se encontraban entre hermanos.
3676,taspayana,  grietas en los pies / en la piel. kanpak chakikarami taspayashpa llikirishka. tu pie está agrietado.
3677,tatkina (taktina),  marchar / caminar. karumantami tatkimuni. vengo caminando desde lejos. sampayakta tatkimuni. vengo marchando hasta el cansancio.
3678,tawanpa,  anegado / cubierto de agua. tawampa ukuta kushillu payllami juntan. por el terreno anegado hay muchos monos.
3679,tawkana,  amontonar. kankuna pallashka murukunata kay kuchupi tawkankichik. los frutos que cosecharon / amontonen en este rincón.
3680,tawkarina,  amontonarse / reunirse. atallpakuna tawkarimun. las gallinas vienen a amontonarse. runami unku wasipi tawkarishka. hay gente amontonada en la casa del enfermo.
3681,tawna,  bastón / palanca / puntal / taona. aya pampanaman tawnapi kimirishpa shuk ruku mama paktarka. arrimándose en su bastón / llegó una anciana al lugar del entierro. ruku pancho paypak wasi urmakukta / tawnachinkapak yanaparkani. al viejito a pancho le ayudé a apuntalar su casa que se caía.
3682,tayra,  variedad de garrapata. tukuy aychami tayra llutarishka shikshichiwan. tengo comezón en todo el cuerpo por las garrapatas que me picaron.
3683,tayta,  papá / señor / don. ñuka taytaka urkuman rishpami ukumarita wañuchirka. mi papá mató un oso en la loma.
3684,tika,  adobe. jawallakta runaka tikawanmi wasin. los kichwas serranos hacemos nuestras casas con adobes.
3685,tiklla,  mancha. yawar wikiwanmi ñukapa yurak churanata tikllayachirkani. mi ropa blanca se manché con sangre de drago.
3686,tikrachina,  restituir / devolver / contestar / responder / voltear / virar. kan mañachiwashka churanata kutichiway. devuélveme la ropa que te presté. alliwan rimakpi / paylla piñashka shimiwan kutichiwarka. hablándole con buenas palabras / ella respondió groseramente.
3687,tikramuna,  regresar / volver / retornar. kullki illak tukushpa / mana llakik churi tikramurka. sin dinero volvió el hijo ingrato.
3688,timpuchina,  hervir. timpu yakuwan aswata upyachiway / kichata jampisha. dame chicha con agua hirvida / así me curaré de la diarrea.
3689,timpuna,  hervir / borbotar / fermentar. timpushka aswatami upyanayawan. quiero tomar chicha fermentada. mankami timpushpa uyarikun. la olla es la que suena al borbotar el agua.
3690,timujampi,  barbasco. timujampiwanmi challwaka wañun. con el barbasco el pez muere.
3691,tinkana,  sonido del agua. kaya tutatak jatarishpa armaypiwan / tinkankichik. mañana a la vez que se bañan / sonará el agua.
3692,tintil,  costado / lado. tintilwan sirichichik. acuéstenle de costado.
3693,tipishka,  brazo de río. tipishkata rikpika mana karuchu / kunanshi wasiman paktankichik. yendo por el brazo del río llegan enseguida a la casa.
3694,tipiti,  prensa para hacer fariña. kaya kuta lumuta chawankapakmi tipititak awakuni. para mañana prensaremos la yuca con que vamos a hacer fariña / estoy tejiendo la prensadora.
3695,tirikuy,  ciempiés. kutimpu wawata karankapak llullu tirikuyta mashkaychik. busquen ciempiés tiernos para dar de comer al armadillo.
3696,tisana,  cardar / escamar. kanpak mama ñuka mamantin champirata ishpatami tisaranun / kaya pushkankapak. tu mamá y la mía están cardando la fibra de champira para mañana hilar.
3697,tispina,  pellizcar. wawa shina tispinakushpa pukllakunkichik. juega como niño pellizcándose.
3698,tiwakuru (tiuwinkulu),  ave pequeña de color negro y pico rojo. tiwakurumi ankata manchashpa kaparikun. esa ave está alertando con su chillido que hay algún gavilán.
3699,tiwka,  saliva. tiwkapash tallikta macharka. se embriagó hasta babear.
3700,tiwkana,  escupir / salivar / soplar el espanto. ñukapa killka jawapi tiwkashka. han escupido sobre mis libros.
3701,tiwtiw tiwtiw,  expresión para los perros cazadores. churimi allkukuna katihukpi / tiwtiw tiwtiw kaparikun. es mi hijo que anda con los perros y los está induciendo a perseguir a la presa.
3702,tiwtiwchina,  ir de cacería con los perros. allkukunawan lumukuchita tiwtiwchinkapak churika sachaman rirka. el hijo fue a la cacería de saíno con los perros.
3703,tiyana,  existir / haber. yayaka tiyakunchu. ari. tiyakunni. ¿existe tu papá? ¡sí / aquí está!
3704,tiyarina,  banco / silla / asiento. tiyarishpa samay. ¡siéntate y descansa! kanpak tiyarinata mañachiway. préstame tu silla.
3705,tiyu (yuksi),  arena. tuta tiyupi tukuyla puñuyrirkanchik. todos fuimos a dormir en la playa de arena fina.
3706,tuka,  musgo. ñukanchik wasi mawkayanmi / tuka kinchapi wiñashka. nuestra casa está envejecida / ha crecido musgo en la pared.
3707,tuklla,  variedad de trampa. lumucha ñanpipi tukllata rurashun. coloquemos una trampa en el cami-
3708,tukllana,  hacer trampa. imachari atallpata puncha mikukun / tukllata churakpi wañunkachu imachari. no sé que es lo que se está comiendo las gallinas.tal vez poniendo una trampa caiga.
3709,tuksichina,  hacerse inyectar. jampitami tuksichikuni. me estoy haciendo inyectar.
3710,tuksik,  variedad de pez / picalón. ishkay tuksikkunata japirkani. cogí dos picalones.
3711,tuksina,  clavar / punzar / inyectar / arponear. tutamanta jampita tuksiwarka. me inyecto medicamento a la mañana. tuksinata apamuy / challwami tawka kushparikun. trae el arpón / hay muchos bocachico revolcando.
3712,tuktu,  flor de maíz / de arroz / de plátano / de chonta. ñukapa chakrapika chunta / palanta / arroz / sarami tuktu kan. en mi sementera están en flor la chonta / el plátano / el arroz y el maíz.
3713,tuktuna,  florecer / gallina que está anidando. tuktu atallpa mamapa lulunkuna ña pakirinmi. ya están reventando los pollos de la gallina que estaba anidando.
3714,tukuchina,  terminar / acabar / concluir / cesar / clausurar. yachana wasimanta wawakunaka kunan punchami tukuchin. los niños de la escuela hoy clausuran el año escolar . kunan llamkanamanta samashun.
3715,tukuri,  fin. kunan tutami killa tukuri kanka. esta noche termina el mes lunar.
3716,tukuy,  todos / todo / entero. sarata rantinkichu. achkatachu charinki. chunka tulumi tiyan. tukuyta katuway. ¿compras maíz? ¿tienes bastante? hay diez sacos. ¡véndeme todo!
3717,tukuypacha,  absolutamente todo. tukuypachami minkaman rina kanchik. absolutamente todos tenemos que ir a la minga.
