id,Kichwa,Espa√±ol,Etiqueta
3389,  caÒabrava. suni pintutak pitisha / yakuka kuchami. cortarÈ caÒabrava que sirva de palanca larga que el rÌo est· profundo.,piÒachina,neutro
3390,  encolerizar / enojar / rabiar. rimakpi mana uyashpami wawakunaka piÒachiwan. los niÒos me enojan porque no me hacen caso.,piÒak,positivo
3391,  bravo / de mal car·cter. chay warmita mana kushi rikushkani / piÒak kashpami millay kawsan. a esa mujer nunca le he visto alegre / es de mal car·cter y siempre est· como enojada.,piÒana,negativo
3392,  insultar / hablar / regaÒar. yankamanta apuk piÒawarka. la autoridad me insultÛ.,piÒarina,neutro
3393,  encolerizarse / disgustarse / alterarse / ponerse erecto. ushushita alli shimiwan maÒakrillapitak / yaya piÒarirka. solicitando de la mejor manera a la hija / el pap·,piÒarisiki,positivo
3394,  colÈrico / regaÒÛn. awlawan sakiri. mana munanichu / yapa piÒarisiki kan. quÈdate con la abuela. no quiero / es muy renegona.,piÒay,negativo
3395,  colera / enfado / enojo / crÌtica / odio / antipatÌa. kullkisapata rikushpa piÒaymi shamuwan. tengo antipatÌa por esa gente adinerada.,piripiri,neutro
3396,  sÌgueme sÌgueme / hierbas utilizadas para la cacerÌa / pesca. piripirita kuwanma / wankanata kay wasi punkupi apamushpa / waÒuchisha mikuyma. quisiera tener sÌgueme sÌgueme para atraer jabalÌes hasta mi casa / matarlos y comerlos.,pirka,neutro
3397,  pared / muro. Òukanchik wasi junta pirkata shayachikunchik. estamos construyendo una pared para nuestra casa.,piruti,positivo
3398,  dardo / flecha. pirutitami aspinka kani. voy a fabricar dardos.,pirutikara,neutro
3399,  hoja de palmera de la que se fabrican las saetas (dardos).,pirutina,positivo
3400,  fabricar saetas / lanzar saetas. matiri juntakta kayna pirutishpa chisharkani. ayer llenÈ la albaja con saetas en el dÌa.,pishichina,neutro
3401,  hacer falta. yapa alli mikuna kashpa / pishichiwarkami. me hizo falta la comida.,pishina,positivo
3402,  faltar / escasear. chay tukuy runapakka / mikuna pishirkami. para tanta gente / faltÛ la comida.,pishishunku,positivo
3403,  cobarde. pishishunku runaka / piÒarishpaka illapan. el hombre cobarde cuando se enoja dispara.,pishiyana,positivo
3404,  faltar / no asistir / escasear. tantarinaman rinata pishiyarkanimi. faltÈ a la reuniÛn.,pishÒa,negativo
3405,  nutria. pishÒaka yakuaychallatak mikushpami kawsan. la nutria vive comiendo pescado.,pitalala,positivo
3406,  culebra equis. pitalala machakuyka sinchi waÒuchik hampiyukmi. el veneno de la culebra equis es mortal.,piti,positivo
3407,  pedazo / trozo. aycha pitita kuway / kachichashpa intipi churasha. dame el trozo de carne / la salarÈ y la pondrÈ en el sol.,pitichina,positivo
3408,  cortar. maymanta shamunki. akchata pitichinkapakmi rirkani. øde dÛnde vienes? fui a hacerme cortar el pelo.,pitina,positivo
3409,  cortar / trocear / despedazar. warata sirankapak churanata pitisha. cortarÈ la tela para coser un pantalÛn.,pitirina,neutro
3410,  expirar / morir / fallecer / cortarse / arrancarse. unkuka imashinata kan. kunanshitumi pitirirka. øcÛmo est· el enfermo? acaba de expirar. waska pitirikpi kari wakra (ullku wakra) / wichayta rishka. al arrancarse el cabo / el toro se ha ido arriba.,pitun,neutro
3411,  ·rbol medicinal y frutos comestibles. pitun aswata upyanayashpa /sarayaku warmikunapakman upyakrinallami. si se desea tomar chicha de pitÛn / no hay m·s que ir donde las mujeres de sarayacu.,pituru,positivo
3412,  ave pequeÒa, se llama asÌ por su canto,positivo
3413,piyampiyan (chunchupia),  ave de la selva. utkalla wasiman rishun / piyampiyan kaparishkata uyay / tamyankami.vamos pronto a la casa el ave est· anunciando lluvia.,neutro
3414,piyu,  candelilla / hormiga. kayna piyu tuksishkami pakarikta unkuchiwarka. por la picazÛn de la candelilla me dio fiebre toda la noche.,negativo
3415,puchka,  hilo / hebra. Òutu puchkata munani / linchitami watanayami. necesito hilo fino porque pienso tejer una atarraya.,neutro
3416,puchkamuyu,  ovillo / carrete. linchi watana puchlamuyuta katuway.vÈndeme un carrete de hilo para atarraya.,negativo
3417,puchkana,  hilar. champirata rakunayata puchkanki. hilar·s grueso la fibra de la palmera.,neutro
3418,puchukarin,  acabar. palanta Òami puchukarin.ya se acaba el pl·tano.,positivo
3419,puchukay,  ˙ltima vez / ˙ltimo. puchukay tantarishkapi sumak shimikunata rimarkanki. en la ˙ltima reuniÛn hablaste muy bien.,positivo
3420,puchuna,  sobrar. chimpachina runaka mashnami puchurka. øde los que tenÌan que cruzar / cu·ntos sobraron?,negativo
3421,pukaklla,  manchado de rojo / de colorado / tambiÈn indica limpio. pukaklla Òawiyuk paktamurka. llegÛ con la cara manchada de rojo. ushushika paypak chakrata pukaklla pichashkatami charin. la hija tiene bien limpia su sementera.,neutro
3422,pukapiyu,  candelilla colorada. pukapiyu tuksishpaka / mana yanapiyu shinachu nanachin / shikshichinllami. cuando pica la candelilla colorada produce comezÛn.,negativo
3423,pukayana,  sonrojarse / pintarse de rojo / colorado. waraputa upyashpa / tukuy Òawi pukayashka tukurka (pukayarka). tomando jugo de caÒa su rostro se hizo colorado.,neutro
3424,pukla,  roncha / lobanillo. imatami chay runa charin / kashtunapi pukla rikurin. quÈ tiene ese hombre en la quijada / se le ve como roncha.,negativo
3425,puklayana,  inflamaciÛn / roncha. ima tukushpata tukuy Òawi puklayashka shamunki. chuskimi tuksiwarka. øquÈ te pasÛ que vienes con la cara hinchada? un mosco me picÛ.,negativo
3426,pukllachina,  hacer jugar / participar en un juego. shukkuna mana pukllachina munakpipash / Òukapa mashi pukllachiwarka. aunque los otros no quisieron / mi amigo me hizo participar del juego.,positivo
3427,pukru,  hondonada / canal / poza. wasiman paktankapak chayra kimsa pukrutami purina kanchik. para llegar a la casa a˙n tenemos que pasar tres hondonadas.,neutro
3428,pukruyana,  nivelar. kayna pampayachishka allpaka / pukruyashkami. el terreno que nivelamos ayer sigue lleno de baches.,negativo
3429,puluna,  agujerear / perforar / huequear. Òukapa wasi pankta ukucha pulupashka. la hoja del techo de mi casa me la ha perforado una rata.,negativo
3430,pulurina,  perforarse / agujerearse / huequearse. Òukapa kanwami ismushpa pulurishka. mi canoa se ha perforado por podrida.,positivo
3431,pullu,  pedazo / trozo / manco. chakishka yanta pulluta apamuy. trae un pedazo de leÒa seca. chay warmika machakuy kanishkami pullu maki kan. esa mujer est· manca por una mordedura de serpiente.,negativo
3432,pullukuku,  variedad de lechuza. pullukukullami tutakunapika kaparishpa uyarin. ˙nicamente a la lechuza se la escucha en las noches.,positivo
3433,pullulluna,  burbujear. wawa kashpa / yaku ukupi pullullushpa pukllak kanchik. los niÒos jug·bamos burbujeando dentro del agua.,neutro
3434,pumpushi,  mosquitos. kanpak aswa mankata allita killpanki / pumpushimi yapa killachin. tapar·s bien tu olla de chicha / el mosquito molesta mucho.,neutro
3435,punchana,  guatusa (roedor). punchanaka mishki aychayukmi. la carne de guatusa es sabrosa.,negativo
3436,punchantin,  en el dÌa. Òukapa kachun punchantin puÒun. mi nuera duerme hasta en el dÌa.,positivo
3437,punchayana,  amanecer. yapalla punchayakpi llaktaman mana rirkani. al amanecer me fui al pueblo.,positivo
3438,punkara,  brea (vegetal y mineral). kanwa punkarankapak / punkarata mana charini. no tengo brea para curar a mi canoa.,negativo
3439,punkaramuyu,  variedad de fruta. punkaramuyuka awrumishki lawana muyumi. este fruto es agridulce / que se lo lame.,positivo
3440,punkarana,  calafatear. imatami rurakunki. kanwa pulurishkatami punkarakuni. øquÈ haces? estoy calafateando la canoa.,neutro
3441,punki,  hinchazÛn / inflamaciÛn. paypak punki mana aysarinchu. su hinchazÛn no se le desinflama.,negativo
3442,punkina,  hincharse / inflamarse / inflarse. pay chukrishka punkishkami. su herida se ha inflamado.,negativo
3443,punkirina,  fermentarse. kan llapishka aswa punkirikunmi. la chicha que aplastaste est· fermentado.,positivo
3444,punku,  puerta / entrada. puÒunka rashpa punkuta wichkanki. cuando vayas a dormir / cerrar·s la puerta.,neutro
3445,punshina,  escarbar / hozar. kuchikuna yapushpa Òanpi punshiklla. los puercos hozan en el camino.,negativo
3446,puntsu,  velludo / lanudo / cerdoso / revoltijo. kay mishu puntsu Òawi kan. este mestizo es barbudo. kanpak kawitu puntsumi tukushka sirin. tu cama est· hecha un revoltijo.,negativo
3447,puntsuyana,  erizar. allku kaparikukllami / puntsuyashka shayan. el perro ladrÛ y ladrÛ / hasta que se le erizaron los pelos. rukuyashkapi pika mana chayshinachu karkanki. de viejo te veo velludo / de niÒo no eras asÌ.,neutro
3448,puÒuchina,  dar posada. mana imachu / tutayakpipash Òuka wasipi puÒuchiskanki. no importa anochecernos / te darÈ posada en mi casa.,positivo
3449,puÒunayana,  tener sueÒo / querer dormir. puÒunayawan. tengo sueÒo. kay wasipi puÒunayawan. quiero dormir en esta casa.,positivo
3450,pura,  entre. chunkapura llaktaman rirkanchik. fuimos al pueblo entre diez. warmipura tantarinami tiyarka. hubo reuniÛn entre mujeres.,neutro
3451,purana,  mes lunar / luna llena. killa purantaka. verdad que ya se completÛ el mes. killa purashka tutakunapi tuta anka wakshpa kaparin. en las noches de luna llena el gavil·n nocturno llora.,positivo
3452,purichina,  guiar. mana riksik runata quitullaktapi purichirkani. a un indÌgena que no conocÌa quito / le guiÈ.,neutro
3453,purikachana,  andar de aquÌ para all· / andar sin rumbo / andar errante. muspayashka warmika uray wichay purikachan. una mujer enloquecida anda de arriba para abajo.,neutro
3454,puru,  recipiente de totuma / de calabaza. jampi puruta apamuy. trae el recipiente de curare.,positivo
3455,purunku,  recipiente hecho de hoja. achka mikukmi kashkanki / panka yapalla purukushkami.has sido de los que comen bastante / tu hoja est· muy ahuecada. kay kallanaka yapalla purunkumi. este plato de cer·mica est· demasiado agujereado.,neutro
3456,pusku,  espuma. yaku juntakunmari / pusku tawka uraykuhun. el rÌo est· creciendo / baja bastante espuma.,positivo
3457,puskuyana,  fermentar. aswa puskuyashkami. la chicha ha fermentado. pusun,positivo
3458,pushana,  llevar / conducir / guiar / gobernar. kay wawata wasiman pushanki. llevar·s a este niÒo a la casa. chayshuk kiwapampaman wakrakunata pushanki. conducir·s al ganado al otro potrero. kay mashimi ayllullakta-wankurita alli pushana yachak kan. este compaÒero sÌ sabe dirigir la comuna.,neutro
3459,putan,  abeja. kay sachamanta mishki putanka mana tuksikchu / kaninllami. la abeja fabricadora de miel no pica ni muerde.,negativo
3460,putasyana,  descomposiciÛn del cad·ver. waÒushka runa Òa putasyakunmi. el cad·ver del hombre ya se est· pudriendo.,negativo
3461,putu (wimpa),  ceibo / demasiado lanudo(a) / palo seco muy liviano. putu killapi / achka putu muyukuna tukyarinun. en agosto se revientan las pepas de ceibo.,positivo
3462,puyu,  nube / niebla / gorgojo. kunan puncha puyulla pakarirka. este dÌa amaneciÛ con niebla.,positivo
3463,rakina,  dividir / repartir / distribuir. kay tantakunata / wawakunapa raki. distribuye estos panes entre los niÒos.,positivo
3464,rakuyana,  engordar / engrosar. kuna achka kiwa tiyashkarayku wakrakuna rakuyanmi. como hay bastante pasto / el ganado se est· engordando.,positivo
3465,rana,  hacer / construir / fabricar. kunan puncha kawinata rana kani. este dÌa tengo que hacer un remo.,neutro
3466,ranti,  en cambio / en vez. kan mana rina ushakpi / churi ranti richu. si t˙ no puedes que vaya tu hijo en vez de ti.,positivo
3467,rantichina,  vender / negociar. ishkay atallpata chunka pichka kullkipi rantichirkani. vendÌ dos gallinas en quince dÛlares.,neutro
3468,rantipana,  responder / contestar. pay piÒawakpipash mana rantiparkanichu. como Èl me insultÛ no le contestÈ.,negativo
3469,rapyana,  contraerse involuntariamente / seÒal / adivinar / hacer c·balas sobre lo que un brujo intenta contra otro. Òawikara yapa rapyawan /pichari shamunkaran. se contraen los m˙sculos de mis p·rpados / øquiÈn ir· a venir? jayawaskata upyashpami rapyashpa pakarini / kanpakmanmi sinchi piruti paktamunka kashka. tomando el alucinÛgeno en la noche / he llegado a la conclusiÛn de que te llegaba un dardo muy peligroso.,negativo
3470,rasuna,  nevar / halar. chimborazo urkuman sikakushkapi / kunkaymanta rasunkapak kallarirka. subiendo hacia el chimborazo / de repente empezÛ a nevar.,neutro
3471,rawrana (rawrachina),  arder / quemar / dar comezÛn. tukuy aychapi inti rupachishka rawrachiwan. me arde todo el cuerpo porque me quemÈ con el sol. chanka sikipi shikshichishpa rawrachiwan. en la ingle siento una comezÛn que quema.,negativo
3472,richu,  expresiÛn utilizada para ahuyentar perros. allpaman richu. °vete abajo!,positivo
3473,rikcharina,  despertarse. rikchari atallpami waÒukun. °despierta que las gallinas se est·n muriendo!,negativo
3474,rikchay,  imagen / figura / foto / retrato. kayka laura montoya rikchaymi. este es un retrato de laura motoya. kayka apunchik rikchaymi. esta es una imagen de dios.,positivo
3475,rikunakushun,  adiÛs / nos veremos. rinimi / kayaman rikunakushun. °adiÛs / nos veremos! washa rikunakushun / chaypimi yachawanki. despuÈs nos veremos / allÌ sabr·s quiÈn soy.,positivo
3476,rikuriklla,  visible / a la vista. ama yapa pakankichu / rikurikllata churanki. no ocultes demasiado pon a la vista.,neutro
3477,rikurina,  verse / asomar / aparecer / presentarse. kanpak Òawita manachu rikunki / sipu Òawi apaya kan.øacaso no te ves tu cara? tiene la cara llena de arrugas. kunkaymanta sachawakra rikurirka. de imprevisto apareciÛ una danta.,neutro
3478,rimaysiki,  hablador / lengua suelta. rimaysiki warmikunami shamun / paykuna rimashkata chunlla uyashun. ya llegaron las mujeres lengua suelta / oigamos en silencio lo que ellas dicen.,positivo
3479,rina,  ir / viajar. yachana wasiman rina kani. tengo que ir a la escuela. kaypi kawsak allku rishka. el perro que vivÌa aquÌ se ha ido.,negativo
3480,rirpu,  espejo. rirpupi rikurishpaka / kanllatachu kanki. acercate al espejo / øeres t˙ mismo?,negativo
3481, pospuesta tiene sentido de desprecio. ruku alban kamachinkapak alli shimiyuk karka. el anciano alb·n tenÌa buenas palabras para aconsejar. rogelio rukuka runakunata shuwashpalla kawsarka. ese viejo rogelio sÛlo robando a los nativos viviÛ.,rukuchu,neutro
3482,  viejito (expresiÛn de cariÒo / tambiÈn puede ser de burla). aku Òuka wasiman rukuchu aswata upiakrishun. vamos a mi casa a tomar chicha / viejito.,rukuyana,positivo
3483,  envjecer. rukuyanchikmi. estamos ya viejos.,rumi,positivo
3484,  piedra. tawka rumitami Òukapa wasita shayachinkapak mutsuni. necesito mucha piedra para construior mi casa.,rumiyana,positivo
3485,  patrificarse. kallaripi kawsak wiwakunapak tulluka rumiyashkami sirin. los esqueletos de los animales antiguos est·n petrificados.,rumpa,positivo
3486,  cÌrculo / pelota / bola. rumpa ukushinalla muyurishpa kallpay. corre date la vuelta dentro del cÌrculo. rumpata jaytashpa pukllashun. juguemos pateando la pelota.,runa,positivo
3487,  persona / indÌgena / runa. runa apuk tukushpa / runapura hiknikmi tukun. cuando el indÌgena llega a ser autoridad / es dÈspota con sus consanguÌneos.,runtu,neutro
3488,  granizo / huevo. urku sikipi tiyak llaktakunapika / runtu tallirinllami. en las ciudades de la sierra cae con frecuencia el granizo. atallpa runtuta (lulunta rantichiway).vÈndeme huevos de gallina.,runtunan,positivo
3489,  granizar. jawa llaktakunapika / katin runtushkami uyarin. en las ciudades serranas se oye granizar con frecuencia.,rupachina,neutro
3490,  quemar / incendiar / chamuscar. sinchita intikpi chakrata rupachinami. cuando haga un fuerte sol hay que quemar la sementera. chakishka pankawan kuchita rupachishun. chamusquemos al puerco con hoja seca.,rupana,neutro
3491,  quemarse / incendiarse / arder / inflamarse. unayta intishkapi / allpa pampa chakra rupan. despuÈs de mucho tiempo de sol / la sementera se quema a ras de tierra.,ruparina,positivo
3492,  requemarse. arroz chakra shuk pampa ruparishka / ushpakllami rikurin. la sementera de arroz se ha requemado un tramo / se lo ve ceniciento.,rupay,positivo
3493,  calor / ardor / calentura. sacha ukumanmi rikuni / wasi ukupi rupaymi mana ushachiwan. me voy a la selva / dentro de casa el calor es insoportable. rupaywan unkuchishpami Òakachiwan. la calentura me fastidia.,rurana (rana),negativo
3494,  hacer / construir / fabricar. chakatami rurakuni. estoy construyendo el puente. warmi / imata ruranki. allpa mankatami awakuni. mujer / quÈ haces? estoy fabricando una olla de barro.,rutuna,positivo
3495,  trasquilar. shamuy / kanpak akchata rutushun °ven para cortarte el pelo!,sacha,positivo
3496,  selva / monte / bosque. sachapi kawsakkunaka / imashna shutiyuk kashkata / imapak sacha kashkata yachanchikmi. los que vivimos aquÌ conocemos los nombres y sabemos para que la selva es nuestra vida. yapa waÒuchikpi sacha wiwakunaka tukurinmi. los animales salvajes se est·n exterminando por mucha cacerÌa.,sacharuna,neutro
3497,  variedad de lagartija de color verde moteado que posee debajo del cuello una especie de cresta / que al desplegarla se torna roja. ser mÌtico protector de los animales de la selva.,sachawakra,positivo
3498,  tapir / danta. sachawakra aychaka mishki yachikmi mikukpika. la carne de danta es de un sabor dulzÛn al saborearla.,sachayana,neutro
3499,  hacerse monte / maleza / remontarse / hacerse arisco. kan unkukpi / lumu chakra sachayashka. al enfermarte t˙ / la sementera de yuca se remontÛ. amu unay jichushkaraykumi kuchikunaka sachayanushka. por la ausencia del dueÒo / los puercos del puchÌn se han remontado.,sakichina,neutro
3500,  hacer quedar. wawata awlawanmi sakichini. al bebÈ le hago quedar con la abuela.,sakina,positivo
3501,  dejar. wasitachu kanpak churiman sakinata munanki. øvas a entregar la casa a tu hijo? ishkantin churikunatami wasipi sakini. a los dos hijos les dejo en la casa.,sakirina,positivo
3502,  quedarse. raymiman mana rinichu / wasipimi sakirini. no me voy a la fiesta / me quedo en la casa. pitak wasipi sakirina munan. øquiÈn quiere quedarse en la casa?,saklla,neutro
3503,  esparcido / regado. sarata saklla churay / utka chakirichun. coloca regado el maÌz / para que seque pronto.,sakllachina,neutro
3504,  esparcir los granos. kula muyuta sakllayachishpa churanki / kayapak chakirichun. la pepa de cacao colÛcale regado / quiero que para maÒana estÈ seca.,sakra,positivo
3505,  brujerÌa de los sembrÌos. kanpa chacratami sakrachishka. a tu sembrÌo lo han brujeado.,sakrana,neutro
3506,  echar maleficio / embrujar. sakrata piÒashkarayku Òuka warmi unkushka kan. por insultar al brujo mi mujer est· enferma.,saksakta,neutro
3507,  hartarse / hasta llenarse. aswata saksakta upyashkami purikuni. ando con la barriga llena de chicha. pipyakunata saksakta karanki. da de comer a los pollos hasta que se harten.,saksana,negativo
3508,  llenarse / hartarse / satisfecho de comer / de beber. mikushpaka saksankichu. øquedas satisfecho con la comida?,salla,positivo
3509,  muy bajo (en el rÌo) ordinariamente es de arena o de piedra. kaytaka sallami / manÒatami ripak kan. por aquÌ est· muy bajo / por la otra orilla se puede como ir.,samana,positivo
3510,  descansar / respirar. kaypi samasha. descansarÈ aquÌ. sampayashka shina samakunki.cansado respiras agitadamente.,samarina,neutro
3511,  calmar / cesar (un dolor) / satisfacer la necesidad sexual. isula tuksishka puÒukushkapi samariwashka. el dolor por a picadura de la conga se me ha calmado con dormir.,samashun,neutro
3512,  expresiÛn para despedirse / despedida. samashun. liter. °descansemos! rinimi / samashun. °adiÛs!,samay,neutro
3513,  aliento / espÌritu de vida / respiraciÛn / descanso. samay pitirikpika / waÒunami. al cortar la respiraciÛn llega la muerte. tutaka samay pachami. la noche es tiempo para descansar. pachakamak paypak samayta runapi churarka. dios puso su aliento en el hombre.,sampa,positivo
3514,  dÈbil / flojo. unkushkamantami Òukapa warmika sampa kan. desde que est· enferma / mi mujer se ha puesto dÈbil. sampa runami kan / warmipakpi makaytukun. este hombre es flojo / se deja pegar por su mujer.,sampayachina,negativo
3515,  hacer cansar / fatigar. llaktamanta wasikaman purimushka / sampayachiwanmi. la caminata del pueblo a la casa / me hace cansar.,sampayana,neutro
3516,  cansarse / fatigarse / agotarse. purikuymanta sampayani. me canso de tanto caminar. Òuka aycha llashayllawanmi sampayani. solo con el peso de mi humanidad me fatigo.,sampi,neutro
3517,  canilla / espinilla. sampipi mukuyakta waktarirkani. me di un golpe en la espinilla.,sankan,negativo
3518,  mujer lenta en el trabajo. imata rashpata chayra sankan purikunki. por quÈ andas muy lento. payka sankanmantami mana utka llakana ushan. por lenta no trabajar mucho.,sanku,neutro
3519,  espeso / turbio. sankuta rurashpa aswata upyachiway. dame de tomar chicha espesa. yaku mana takshaypak / sankumi. el agua est· turbia / no hay cÛmo lavar la ropa.,sankuyana,neutro
3520,  espesarse. timpuymantami katu yapalla sankuyakun. de tanto hervir espesa demasiado la mazamorra.,saÒi,positivo
3521,  ·rbol del que saca el color morado para teÒir la ropa. saÒi tullpuka sumak rikurik kashpallatak / juchamanta nanarina pachata yuyachin. el color morado nos recuerda el tiempo de penitencia.,sapa,negativo
3522,  sufijo (morfema) para formar aumentativos. umasapa. cabezÛn. wiksasapa barrigÛn.,sapalla,negativo
3523,  solo / solitario / ˙nico / abandonado. sapallachu shamurkanki. øviniste solo? chay wawa sapalla purin. ese niÒo est· solitario.,sapallu,positivo
3524,  calabaza / zapallo. sapalluta yanushpa karaway. cocina y dame de comer la calabaza.,sapan,negativo
3525,  cada. sapan puncha mikuna tukunchi. cada dÌa tenemos que alimentarnos. sapan runa shuk pankata apamuchu. cada hombre que traiga una hoja.,saparu,neutro
3526,  cesta de bejucos con tapa. kunan pachapi kikinpak kapukunata chay sami saparupi wakaychipika / kunanshitu chinkarin. hoy en dÌa si guardamos nuestras pertenencias en una de esas cestas / de inmediato desaparece.,sapi,positivo
3527,  raÌz / mata. palanta sapipimi jampi wankuta sakirkani / apakri. junto a la mata de pl·tano dejÈ el barbasco / tr·eme.,sapira,negativo
3528,  arcilla / greda. sapirata apamunki / allpamanka awanata yachachishkanki. trae arcilla para enseÒarte a fabricar ollas de barro.,sapu,neutro
3529,  hormigÛn / pipÛn / pantorrilla / bÌceps. aswa upyaymanta sapu warmi. esa mujer es barrigona de tanto tomar chicha. chaki sapu illak runakunami tiyan. hay personas que no tienen nada de pantorrilla.,sara,negativo
3530,  maÌz. pipyakuna mikunkapak sarata kutankichik. moler·n maÌz para los pollos.,sarapanka,positivo
3531,  hoja de maÌz. atallpa usa mirashkata sarapankawan rupachikpimi chinkarinka. los piojos de gallina se pierden quem·ndolos con hoja de maÌz.,sarun,negativo
3532,  otro dÌa / antes / pasado. sarun punchakunapi yapalla llamkashpami / sampayashka kani. por trabajar mucho en dÌas pasados estoy cansado.,saruna,negativo
3533,  pisar / atropellar. mishukunaka runata sarushpa / tukuchishunmi yuyarirka. los mestizos creyeron que con atropellarnos / nos exterminarÌan.,sasina,neutro
3534,  ayunar / abstenerse. yachak kakushkaraykumi / atallpamanta sasi kani. por tratarme con el sham·n tengo que abstenerme de comer gallina.,satina,negativo
3535,  meter / introducir. Òuka allashka jutkukunapi palanta mallkita tarpunki. en los hoyos que hago mete plantas de pl·tano.,saw,positivo
3536,  expresiÛn de interjecciÛn. munankichu kanpakta rantishun. saw. øquieres que compremos para ti? °tranquilo!,sawna,neutro
3537,  almohada. sawna illak puÒunkapak mana ushanichu. es imposible dormirme sin almohada.,sawnana,negativo
3538,  recostar / arrimar. umatami sawmanata munani. quiero recostar la cabeza en la almohada.,sikana,positivo
3539,  subir / ascender / montar / trepar. urku jawaman sikashun. subamos a la montaÒa. kay waykuta urakushpa / washaka sikankapak ushankichu. si bajas este barranco / øluego podr·s subir?,siki,negativo
3540,  nalga / trasero / culo / asiento. ukuy kamashka sikiyukshi kan. se dice que las hormigas rastreras / tienen el trasero bien formado. tiarina siki. asiento de palmera. manka siki. asiento de la olla.,siksi,negativo
3541,  hilador / instrumento compuesto de un disco de madera o concha de animal y un palito metido en el centro. charapa karamanta alli siksi charishkatami / wawakuna pakirka. tuve un hilador de concha de tortuga acu·tica pero los niÒos lo rompieron.,sillu,negativo
3542,  uÒa / casco / pezuÒa. silluta pitirishpalla tiyana rantimanta / mankata mayllakri. en vez de cortarte las uÒas / vete a lavar la olla. wakrami sillupi chukrishka / janpikpimi alli kanka. la vaca se ha herido la pesuÒa / hay que curarle.,sinchi,neutro
3543,  duro / fuerte. sinchi runa kashkarayku / paywan mana usharka. el hombre es fuerte / con Èl no pudieron. wampulaka sinchi yurami / mana ismuk kaspi kan. la madera es dura y no se pudre.,sinchiyachina,negativo
3544,  duro / reforzado / fortalecer. patachakikunata sinchiyachikpi / wasika mana kuyurikmi shayanka. si las basesson duras / la casa se fortalece. unku kashpapash allita mikukpika / achkatami sinchiyachin. el enfermo bien comido se encuentra fortalecido.,sinchiyana,negativo
3545,  fortalecerse. waÒunalla allkuta jampita upyachikpimi / kunanka sinchiyakun. se le dio medicamento al perro que ya estuvo a punto de morir y ahora est· fortalecido.,sinchiyarina,negativo
3546,  hacerse duro. urku sikanapi sinchiyarinkichik. hay que ponerse duro en la cuesta.,sinka,negativo
3547,  nariz / trompa. tukuy runami sinkamanta samanchik. todas las personas respiramos por la nariz.,sinkallina,neutro
3548,  sorber por la nariz. riki / wawami aswata sinkallikun. mira / el bebÈ est· sorbiendo la chicha por la nariz. shiktatak sinkallikpi / lumarisu jampirinmi. sorbiendo por la nariz el brebaje de ese arbusto / se sana de la gripe.,sinkuna,negativo
3549,  tambalearse / cabecear / revolcarse / rodar. machashpa sinkurikun. de borracho est· revolcando. tsatsapi sinkukrishun.vamos a revolcarnos en la playa.,sipina,negativo
3550,  ajustar / apretar / prensar / ahorcar / estrangular. sipishpa Òalla waÒuchiwarka. casi me estrangulan. yapaktami sipiwanki / kachariway. me est·s apretando demasiado / suÈltenme.,sipirina,neutro
3551,  ahorcarse / apretarse / ajustarse. watashpa wakra sipirishpa waÒushka. la res que estaba amarrada y se ha ahorcado. sara kipimi jukushka yapalla sipirishka. el bulto de maÌz / al mojarse se ha apretado demasiado.,sipu,negativo
3552,  arrugas. rukuyashpachu sipu Òawi tukunki / mama. madre / ya se te ven las arrugas en la cara por la vejez. kanpak sipu churanata llampunkima. es de que alises tu ropa arrugada.,sipuna,negativo
3553,  arrugar / fruncir / guiÒar / pestaÒear. Òawita sipushpa piÒawarka. habl·ndome frunciÛ su cara. Òawita sipushpa killachiwarka. me estuvo guiÒ·ndome el ojo.,sipuyana,negativo
3554,  arrugarse / fruncirse. rukuka / tukuy aycha sipuyashkami. como soy viejo / tengo todo el cuerpo arrugado. piÒarishpa / sipuyashka purikurka. Èl es bravo y anda fruncido.,sirana,negativo
3555,  coser / zurcir. lliki kushmata sirarkankichu. øzurciste mi camisa vieja?,sirichi,positivo
3556,  acto de la ceremonia nupcial. sawarikukkunatami sirichinkapak rinchik. vamos a efectuar la ceremonia de acostar a la pareja.,sirichina,positivo
3557,  acostar. wawakunata Òa sirichi / puÒuchun. acuÈstales ya a los niÒos para que duerman.,sirina,neutro
3558,  acostarse / echarse. mamaka apashpami puÒunapi sirikun. la mam· luego de dar a luz / est· acostada en la cama.,sisa,positivo
3559,  flor. kanka sisa ukupi kawsak kashkanki. t˙ vives entre las flores.,sisana,neutro
3560,  florecer. wachansu yuraka sisashpallatak / mana muyuyanchu. el manÌ florece pero no da fruto.,sisapacha,positivo
3561,  primavera. shuk llaktakunapika sisapacha paktashkapi / tukuy yurakunami sisalla juntarin. en otras tierras cuando llega la primavera todos los ·rboles se llenan de flores.,sisapampa,positivo
3562,  jardÌn. sisapampapi ima sami sisakuna tarpushkami tiyan. en el jardÌn se ven sembradas toda clase de flores.,sisu,positivo
3563,  ronchas / sarna (·caro). panta shimita rimashpami / tukuy shikshikunataka / ësisuí ninchik. por equivocaciÛn llamamos sarna a todo lo que da comezÛn.,sisuyana,neutro
3564,  estar con sarna. kanpak allkuka sisuyashkami. tu perro est· sarnoso.,sitiku,negativo
3565,  guarumo (madera que en la actualidad se utiliza en las construcciones). mushuklla tukushka allpakunapi / sitiku yuraka paylla wiÒan. en las islas crecen los guarumos.,siwka,neutro
